scholarship,university_transport,has_laptop,has_consulted_teacher,co_curricular,health_issues,study_hours,study_sessions,on_probation,is_suspended,skills_development_hours,current_gpa,performance_group,social_risk,gpa_improvement,study_time_per_Session,learning_mode_Offline,learning_mode_Online,english_proficiency_Advance,english_proficiency_Basic,english_proficiency_Intermediate,living_arrangement_Bachelor,living_arrangement_Family,attendance_bin_Low,attendance_bin_Medium,attendance_bin_High,income_bin_Low,income_bin_Medium,income_bin_High
0,0,1,0,0,0,2.0,2.0,0,0,1.0,3.18,Average,1.5,0.08000000000000007,1.0,1,0,0,0,1,1,0,0,0,1,0,1,0
1,1,1,1,0,0,2.0,1.0,0,0,1.0,3.7,Good,1.5,0.0,2.0,1,0,0,0,1,0,1,0,0,1,0,0,1
1,1,1,1,1,0,7.0,3.5,1,0,4.0,4.0,Poor,0.8571428571428571,0.0,2.0,1,0,0,0,1,0,1,1,0,0,1,0,0
1,1,1,1,1,0,1.5,2.0,0,0,1.0,3.45,Average,1.3333333333333333,0.27,0.75,1,0,0,0,1,1,0,0,1,0,1,0,0
1,1,1,1,0,0,3.0,2.0,0,0,1.0,3.74,Good,1.0,0.13000000000000034,1.5,1,0,0,1,0,0,1,0,0,1,1,0,0
1,0,1,0,0,0,2.0,1.0,0,0,1.0,3.22,Poor,0.0,0.2100000000000004,2.0,0,1,0,0,1,0,1,1,0,0,0,1,0
0,1,1,0,0,1,2.0,2.0,0,0,2.0,3.36,Average,2.5,0.10000000000000009,1.0,1,0,0,1,0,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1.0,1.0,0,0,2.0,3.72,Average,2.0,0.1200000000000001,1.0,1,0,0,0,1,1,0,0,0,1,0,0,1
0,0,1,0,0,1,2.0,3.0,0,0,2.0,3.01,Average,1.5,-0.11000000000000032,0.67,1,0,0,1,0,1,0,0,0,1,0,1,0
1,0,1,1,1,0,4.0,2.0,0,0,2.0,3.93,Excellent,0.5,-1.0699999999999998,2.0,1,0,0,1,0,1,0,0,0,1,0,1,0
1,0,1,0,1,0,5.5,2.0,1,0,1.0,3.55,Poor,1.0909090909090908,0.5499999999999998,2.75,0,1,1,0,0,1,0,0,0,1,0,0,1
0,0,1,1,1,0,1.0,2.0,1,0,6.0,2.44,Poor,3.0,0.8299999999999998,0.5,0,1,0,1,0,0,1,0,0,1,1,0,0
1,1,1,0,0,0,1.0,1.0,0,0,1.0,3.15,Average,3.0,0.3599999999999999,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
0,0,0,0,0,0,2.0,1.0,0,0,2.0,3.4,Good,1.5,-0.43000000000000016,2.0,1,0,0,0,1,1,0,0,0,1,1,0,0
1,1,1,1,0,0,3.0,1.0,0,0,3.0,3.27,Good,0.6666666666666666,-0.31000000000000005,3.0,0,1,1,0,0,0,1,0,0,1,1,0,0
1,1,1,1,0,0,3.5,1.0,0,0,2.0,3.19,Average,1.1428571428571428,-0.20000000000000018,3.5,1,0,0,1,0,0,1,0,0,1,0,1,0
